Date : 2025-06-27 22:03:45
Directory : c:\Users\ashis\edwise
Total : 141 files,  27208 codes, 314 comments, 1778 blanks, all 29300 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ashis\edwise\frontend\.next\static\development\_buildManifest.js          | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\static\development\_ssgManifest.js            | JavaScript         |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\.next\types\cache-life.d.ts                         | TypeScript         |         23 |        106 |         13 |        142 |
| c:\Users\ashis\edwise\frontend\.next\types\package.json                            | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\README.md                                           | Markdown           |         18 |          0 |         12 |         30 |
| c:\Users\ashis\edwise\frontend\app\askai\page.tsx                                  | TypeScript JSX     |        102 |          0 |          8 |        110 |
| c:\Users\ashis\edwise\frontend\app\dashboard\page.tsx                              | TypeScript JSX     |         49 |          0 |          3 |         52 |
| c:\Users\ashis\edwise\frontend\app\globals.css                                     | PostCSS            |        103 |          0 |          5 |        108 |
| c:\Users\ashis\edwise\frontend\app\layout.tsx                                      | TypeScript JSX     |         21 |          0 |          2 |         23 |
| c:\Users\ashis\edwise\frontend\app\onboarding\page.tsx                             | TypeScript JSX     |         26 |          0 |          2 |         28 |
| c:\Users\ashis\edwise\frontend\app\page.tsx                                        | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\ashis\edwise\frontend\app\test\page.tsx                                   | TypeScript JSX     |         46 |          0 |          6 |         52 |
| c:\Users\ashis\edwise\frontend\components.json                                     | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\ashis\edwise\frontend\components\Dock.tsx                                 | TypeScript JSX     |        153 |          0 |          6 |        159 |
| c:\Users\ashis\edwise\frontend\components\Herosection.tsx                          | TypeScript JSX     |         16 |          0 |          1 |         17 |
| c:\Users\ashis\edwise\frontend\components\Landingbg.tsx                            | TypeScript JSX     |         11 |          0 |          4 |         15 |
| c:\Users\ashis\edwise\frontend\components\dashboard.tsx                            | TypeScript JSX     |        633 |          8 |         28 |        669 |
| c:\Users\ashis\edwise\frontend\components\educators-list.tsx                       | TypeScript JSX     |        244 |          8 |         17 |        269 |
| c:\Users\ashis\edwise\frontend\components\landing-page.tsx                         | TypeScript JSX     |        145 |          6 |         11 |        162 |
| c:\Users\ashis\edwise\frontend\components\lesson-page.tsx                          | TypeScript JSX     |        211 |          5 |         17 |        233 |
| c:\Users\ashis\edwise\frontend\components\live-lecture.tsx                         | TypeScript JSX     |        270 |         11 |         14 |        295 |
| c:\Users\ashis\edwise\frontend\components\magicui\dock.tsx                         | TypeScript JSX     |        127 |          0 |         18 |        145 |
| c:\Users\ashis\edwise\frontend\components\magicui\dot-pattern.tsx                  | TypeScript JSX     |        108 |         42 |          9 |        159 |
| c:\Users\ashis\edwise\frontend\components\magicui\iphone-15-pro.tsx                | TypeScript JSX     |        106 |          0 |          4 |        110 |
| c:\Users\ashis\edwise\frontend\components\magicui\retro-grid.tsx                   | TypeScript JSX     |         42 |         23 |          5 |         70 |
| c:\Users\ashis\edwise\frontend\components\magicui\safari.tsx                       | TypeScript JSX     |        181 |          0 |          4 |        185 |
| c:\Users\ashis\edwise\frontend\components\mode-toggle.tsx                          | TypeScript JSX     |         36 |          0 |          5 |         41 |
| c:\Users\ashis\edwise\frontend\components\navbar.tsx                               | TypeScript JSX     |        148 |          6 |         10 |        164 |
| c:\Users\ashis\edwise\frontend\components\onboarding-page.tsx                      | TypeScript JSX     |        125 |          2 |         10 |        137 |
| c:\Users\ashis\edwise\frontend\components\progress-page.tsx                        | TypeScript JSX     |        189 |          6 |         15 |        210 |
| c:\Users\ashis\edwise\frontend\components\recorded-lectures.tsx                    | TypeScript JSX     |        323 |         13 |         24 |        360 |
| c:\Users\ashis\edwise\frontend\components\sidebar.tsx                              | TypeScript JSX     |         73 |          3 |          7 |         83 |
| c:\Users\ashis\edwise\frontend\components\signup-page.tsx                          | TypeScript JSX     |        309 |         10 |         21 |        340 |
| c:\Users\ashis\edwise\frontend\components\student-dashboard.tsx                    | TypeScript JSX     |        157 |          5 |         11 |        173 |
| c:\Users\ashis\edwise\frontend\components\teacher-chat-page.tsx                    | TypeScript JSX     |        191 |          4 |         13 |        208 |
| c:\Users\ashis\edwise\frontend\components\theme-provider.tsx                       | TypeScript JSX     |          9 |          0 |          3 |         12 |
| c:\Users\ashis\edwise\frontend\components\ui\accordion.tsx                         | TypeScript JSX     |         50 |          0 |          9 |         59 |
| c:\Users\ashis\edwise\frontend\components\ui\alert-dialog.tsx                      | TypeScript JSX     |        127 |          0 |         15 |        142 |
| c:\Users\ashis\edwise\frontend\components\ui\alert.tsx                             | TypeScript JSX     |         53 |          0 |          7 |         60 |
| c:\Users\ashis\edwise\frontend\components\ui\aspect-ratio.tsx                      | TypeScript JSX     |          4 |          0 |          4 |          8 |
| c:\Users\ashis\edwise\frontend\components\ui\avatar.tsx                            | TypeScript JSX     |         34 |          0 |          7 |         41 |
| c:\Users\ashis\edwise\frontend\components\ui\badge.tsx                             | TypeScript JSX     |         24 |          0 |          6 |         30 |
| c:\Users\ashis\edwise\frontend\components\ui\breadcrumb.tsx                        | TypeScript JSX     |        105 |          0 |         11 |        116 |
| c:\Users\ashis\edwise\frontend\components\ui\button.tsx                            | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\ashis\edwise\frontend\components\ui\calendar.tsx                          | TypeScript JSX     |         61 |          0 |          6 |         67 |
| c:\Users\ashis\edwise\frontend\components\ui\card.tsx                              | TypeScript JSX     |         71 |          0 |          9 |         80 |
| c:\Users\ashis\edwise\frontend\components\ui\carousel.tsx                          | TypeScript JSX     |        232 |          0 |         31 |        263 |
| c:\Users\ashis\edwise\frontend\components\ui\chart.tsx                             | TypeScript JSX     |        327 |          2 |         37 |        366 |
| c:\Users\ashis\edwise\frontend\components\ui\checkbox.tsx                          | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ashis\edwise\frontend\components\ui\collapsible.tsx                       | TypeScript JSX     |          6 |          0 |          6 |         12 |
| c:\Users\ashis\edwise\frontend\components\ui\command.tsx                           | TypeScript JSX     |        136 |          0 |         18 |        154 |
| c:\Users\ashis\edwise\frontend\components\ui\context-menu.tsx                      | TypeScript JSX     |        182 |          0 |         19 |        201 |
| c:\Users\ashis\edwise\frontend\components\ui\dialog.tsx                            | TypeScript JSX     |        109 |          0 |         14 |        123 |
| c:\Users\ashis\edwise\frontend\components\ui\drawer.tsx                            | TypeScript JSX     |        105 |          0 |         14 |        119 |
| c:\Users\ashis\edwise\frontend\components\ui\dropdown-menu.tsx                     | TypeScript JSX     |        163 |          0 |         19 |        182 |
| c:\Users\ashis\edwise\frontend\components\ui\form.tsx                              | TypeScript JSX     |        153 |          0 |         26 |        179 |
| c:\Users\ashis\edwise\frontend\components\ui\hover-card.tsx                        | TypeScript JSX     |         23 |          0 |          7 |         30 |
| c:\Users\ashis\edwise\frontend\components\ui\input-otp.tsx                         | TypeScript JSX     |         63 |          0 |          9 |         72 |
| c:\Users\ashis\edwise\frontend\components\ui\input.tsx                             | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\ashis\edwise\frontend\components\ui\label.tsx                             | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\ashis\edwise\frontend\components\ui\menubar.tsx                           | TypeScript JSX     |        217 |          0 |         20 |        237 |
| c:\Users\ashis\edwise\frontend\components\ui\navigation-menu.tsx                   | TypeScript JSX     |        117 |          0 |         12 |        129 |
| c:\Users\ashis\edwise\frontend\components\ui\pagination.tsx                        | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\ashis\edwise\frontend\components\ui\popover.tsx                           | TypeScript JSX     |         25 |          0 |          7 |         32 |
| c:\Users\ashis\edwise\frontend\components\ui\progress.tsx                          | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ashis\edwise\frontend\components\ui\radio-group.tsx                       | TypeScript JSX     |         33 |          0 |          6 |         39 |
| c:\Users\ashis\edwise\frontend\components\ui\resizable.tsx                         | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\ashis\edwise\frontend\components\ui\scroll-area.tsx                       | TypeScript JSX     |         35 |          0 |          6 |         41 |
| c:\Users\ashis\edwise\frontend\components\ui\select.tsx                            | TypeScript JSX     |        146 |          0 |         15 |        161 |
| c:\Users\ashis\edwise\frontend\components\ui\separator.tsx                         | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\ashis\edwise\frontend\components\ui\sheet.tsx                             | TypeScript JSX     |        125 |          0 |         16 |        141 |
| c:\Users\ashis\edwise\frontend\components\ui\sidebar.tsx                           | TypeScript JSX     |        697 |         12 |         55 |        764 |
| c:\Users\ashis\edwise\frontend\components\ui\skeleton.tsx                          | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\ashis\edwise\frontend\components\ui\slider.tsx                            | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\ashis\edwise\frontend\components\ui\sonner.tsx                            | TypeScript JSX     |         26 |          0 |          6 |         32 |
| c:\Users\ashis\edwise\frontend\components\ui\switch.tsx                            | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\ashis\edwise\frontend\components\ui\table.tsx                             | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\ashis\edwise\frontend\components\ui\tabs.tsx                              | TypeScript JSX     |         48 |          0 |          8 |         56 |
| c:\Users\ashis\edwise\frontend\components\ui\textarea.tsx                          | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\ashis\edwise\frontend\components\ui\toast.tsx                             | TypeScript JSX     |        116 |          0 |         14 |        130 |
| c:\Users\ashis\edwise\frontend\components\ui\toaster.tsx                           | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\ashis\edwise\frontend\components\ui\toggle-group.tsx                      | TypeScript JSX     |         52 |          0 |         10 |         62 |
| c:\Users\ashis\edwise\frontend\components\ui\toggle.tsx                            | TypeScript JSX     |         39 |          0 |          7 |         46 |
| c:\Users\ashis\edwise\frontend\components\ui\tooltip.tsx                           | TypeScript JSX     |         23 |          0 |          8 |         31 |
| c:\Users\ashis\edwise\frontend\components\ui\use-mobile.tsx                        | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\ashis\edwise\frontend\components\ui\use-toast.ts                          | TypeScript         |        160 |          3 |         32 |        195 |
| c:\Users\ashis\edwise\frontend\hooks\use-mobile.tsx                                | TypeScript JSX     |         15 |          0 |          5 |         20 |
| c:\Users\ashis\edwise\frontend\hooks\use-toast.ts                                  | TypeScript         |        160 |          3 |         32 |        195 |
| c:\Users\ashis\edwise\frontend\lib\utils.ts                                        | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\ashis\edwise\frontend\middleware.ts                                       | TypeScript         |         21 |          2 |          2 |         25 |
| c:\Users\ashis\edwise\frontend\next-env.d.ts                                       | TypeScript         |          0 |          4 |          2 |          6 |
| c:\Users\ashis\edwise\frontend\next.config.mjs                                     | JavaScript         |         12 |          1 |          1 |         14 |
| c:\Users\ashis\edwise\frontend\package-lock.json                                   | JSON               |      6,808 |          0 |          1 |      6,809 |
| c:\Users\ashis\edwise\frontend\package.json                                        | JSON               |         73 |          0 |          1 |         74 |
| c:\Users\ashis\edwise\frontend\pnpm-lock.yaml                                      | YAML               |      3,588 |          0 |        706 |      4,294 |
| c:\Users\ashis\edwise\frontend\postcss.config.mjs                                  | JavaScript         |          6 |          1 |          2 |          9 |
| c:\Users\ashis\edwise\frontend\public\placeholder-logo.svg                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\public\placeholder.svg                              | XML                |          1 |          0 |          0 |          1 |
| c:\Users\ashis\edwise\frontend\styles\globals.css                                  | PostCSS            |         90 |          0 |          5 |         95 |
| c:\Users\ashis\edwise\frontend\tailwind.config.ts                                  | TypeScript         |         95 |          0 |          2 |         97 |
| c:\Users\ashis\edwise\frontend\tsconfig.json                                       | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                              |                    |     27,208 |        314 |      1,778 |     29,300 |
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
